Date&Time,Cloudfactor,Windspeed,Gartland 1,Gartland 2,Fontaine,Foy 1,Foy 2,Foy 3,Dyson,Lowell Thomas,Hancock,Library,,Gartland 1,Gartland 2,Fontaine,Foy 1,Foy 2,Foy 3,Dyson,Lowell Thomas,Hancock,Library
2018.04.19   04.30,0.276,1.203,59045.9625,59045.9625,59045.9625,35427.5775,35427.5775,35427.5775,82664.3475,86600.745,73479.42,99722.07,,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,2.00E-04,2.00E-04,2.00E-04,2.00E-04
2018.04.19   05.30,0.076,1.228,63500.45625,63500.45625,63500.45625,38100.27375,38100.27375,38100.27375,88900.63875,93134.0025,79022.79,107245.215,,1.3913,1.3913,1.3913,0.8348,0.8348,0.8348,1.9477,2.0405,1.7313,2.3497
2018.04.19   06.30,0.261,1.443,67997.475,67997.475,67997.475,40798.485,40798.485,40798.485,95196.465,99729.63,84619.08,114840.18,,43465.322,43465.322,43465.322,26079.1932,26079.1932,26079.1932,60851.4507,63749.1389,54090.1784,73408.0993
2018.04.19   07.30,0.284,1.514,60194.1375,60194.1375,60194.1375,36116.4825,36116.4825,36116.4825,84271.7925,88284.735,74908.26,101661.21,,178867.2005,178867.2005,178867.2005,107320.3203,107320.3203,107320.3203,250414.0806,262338.5607,222590.2939,302086.8274
2018.04.19   08.30,0.088,1.353,52847.94375,52847.94375,52847.94375,31708.76625,31708.76625,31708.76625,73987.12125,77510.3175,65766.33,89254.305,,305466.3219,305466.3219,305466.3219,183279.7931,183279.7931,183279.7931,427652.8506,448017.272,380135.8672,515898.6769
2018.04.19   09.30,0,1.743,49105.74375,49105.74375,49105.74375,29463.44625,29463.44625,29463.44625,68748.04125,72021.7575,61109.37,82934.145,,379751.9063,379751.9063,379751.9063,227851.1438,227851.1438,227851.1438,531652.6689,556969.4626,472580.1501,641358.7751
2018.04.19   10.30,0.217,2.313,49775.5125,49775.5125,49775.5125,29865.3075,29865.3075,29865.3075,69685.7175,73004.085,61942.86,84065.31,,317469.1242,317469.1242,317469.1242,190481.4745,190481.4745,190481.4745,444456.7739,465621.3822,395072.6879,536170.0764
2018.04.19   11.30,0.154,1.974,55729.0125,55729.0125,55729.0125,33437.4075,33437.4075,33437.4075,78020.6175,81735.885,69351.66,94120.11,,355164.0451,355164.0451,355164.0451,213098.427,213098.427,213098.427,497229.6631,520907.2661,441981.9228,599832.6094
2018.04.19   12.30,0.15,1.388,65733.01875,65733.01875,65733.01875,39439.81125,39439.81125,39439.81125,92026.22625,96408.4275,81801.09,111015.765,,362199.3173,362199.3173,362199.3173,217319.5904,217319.5904,217319.5904,507079.0443,531225.6654,450736.9282,611714.4026
2018.04.19   13.30,0.122,1.103,72037.35,72037.35,72037.35,43222.41,43222.41,43222.41,100852.29,105654.78,89646.48,121663.08,,373665.2938,373665.2938,373665.2938,224199.1763,224199.1763,224199.1763,523131.4113,548042.4309,465005.6989,631079.1629
2018.04.19   14.30,0.174,1.895,68688.50625,68688.50625,68688.50625,41213.10375,41213.10375,41213.10375,96163.90875,100743.1425,85479.03,116007.255,,345374.8608,345374.8608,345374.8608,207224.9165,207224.9165,207224.9165,483524.8051,506549.7958,429799.8267,583299.7648
2018.04.19   15.30,0,2.419,64999.4625,64999.4625,64999.4625,38999.6775,38999.6775,38999.6775,90999.2475,95332.545,80888.22,109776.87,,402269.1403,402269.1403,402269.1403,241361.4842,241361.4842,241361.4842,563176.7964,589994.7391,500601.5968,679387.8814
2018.04.19   16.30,0,1.266,55590.80625,55590.80625,55590.80625,33354.48375,33354.48375,33354.48375,77827.12875,81533.1825,69179.67,93886.695,,374272.5859,374272.5859,374272.5859,224563.5515,224563.5515,224563.5515,523981.6202,548933.1259,465761.4402,632104.8117
